Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C43H73O14N9S,CHONS,971.4997533,43,73,14,9,0,1,0.33,1.70,0.21,0.00,0.00,3433154.25,1908997.409,39699.75565,8362102.02,21350829.74,28051829.43
C33H60O5,CHO,536.4441,33,60,5,0,0,0,0.15,1.82,0.00,0.00,0.00,417943.9751,625547.0087,519256.5495,1810554.066,873166.9191,803735.4848
C27H41O10N5,CHON,595.2853333,27,41,10,5,0,0,0.37,1.52,0.19,0.00,0.00,118368.6951,23577.62613,25107.75132,20683.27118,1748.099328,24354.37287
C21H42O3,CHO,342.3134,21,42,3,0,0,0,0.14,2.00,0.00,0.00,0.00,10163344.53,17370829.56,22763298.01,17922845.71,13998552.9,18843170.14
C7H10O,CHO,110.0732,7,10,1,0,0,0,0.14,1.43,0.00,0.00,0.00,1411830.321,1468853.315,120265.3855,3411.183998,2410.187583,31649.37894
C22H31O5N5S,CHONS,477.2045833,22,31,5,5,0,1,0.23,1.41,0.23,0.00,0.00,6820973.19,23021931.23,8726911.379,13271141.24,20756147.13,8291547.039
C26H39O5N5,CHON,501.2951033,26,39,5,5,0,0,0.19,1.50,0.19,0.00,0.00,2993.914779,5670.023965,1013.89653,8559.144912,4652.323294,1472.079622
C24H42O6N10S,CHONS,598.3009433,24,42,6,10,0,1,0.25,1.75,0.42,0.00,0.00,25769871.6,32872750.72,216212.6774,183192.3294,94012.48213,88652.72464
C19H39O3N,CHON,329.293,19,39,3,1,0,0,0.16,2.05,0.05,0.00,0.00,28978.03879,61983.27586,100588.6042,225031.4604,410860.7104,5122.841982
C21H41O6N5,CHON,459.3056733,21,41,6,5,0,0,0.29,1.95,0.24,0.00,0.00,415885.1871,204031.6111,291589.476,724981.6695,863924.7331,691355.9235
C20H20O6,CHO,356.12599,20,20,6,0,0,0,0.30,1.00,0.00,0.00,0.00,1389188.581,3668532.466,1045003.407,4539097.555,7328102.041,2068622.065
C38H62O12N10S2,CHONS,914.3990033,38,62,12,10,0,2,0.32,1.63,0.26,0.00,0.00,91327931.51,64626656.83,71547701.02,239524902.5,184325683,36359243.02
C23H41O8N10P,CHONP,586.3186933,23,41,8,10,1,0,0.35,1.78,0.43,0.04,10.00,1037630.39,654209.4601,256206.9782,48713.63531,129475.3345,30113.5422
C25H24O5,CHO,404.1624,25,24,5,0,0,0,0.20,0.96,0.00,0.00,0.00,28264.28383,56256.23351,38555.8708,39773.37515,102993.7208,28172.50733
C23H41O8N7S,CHONS,575.2737333,23,41,8,7,0,1,0.35,1.78,0.30,0.00,0.00,451552.0948,386621.4106,334637.4259,535913.4452,226283.2749,542315.3057
C19H18O8,CHO,374.1002,19,18,8,0,0,0,0.42,0.95,0.00,0.00,0.00,881906.1039,1515344.818,1349544.526,1496882.697,741957.3464,3886827.596
C21H39O8N7,CHON,517.2860033,21,39,8,7,0,0,0.38,1.86,0.33,0.00,0.00,533523.8693,381595.7622,73889.97991,739913.4396,117081.6243,381326.7327
C16H12O7,CHO,316.0583,16,12,7,0,0,0,0.44,0.75,0.00,0.00,0.00,685673.236,784846.8459,329498.3115,664165.6225,1077029.189,294134.3964
C21H18O12,CHO,462.0798,21,18,12,0,0,0,0.57,0.86,0.00,0.00,0.00,2596858.87,720750.7956,827972.8371,936459.7344,253202.6096,725288.8173
C28H46O3S,CHOS,462.3168,28,46,3,0,0,1,0.11,1.64,0.00,0.00,0.00,49211.68669,182008.0845,170542.3361,1783603.615,1579962.512,870798.3613
C26H48O6N10,CHON,596.3758133,26,48,6,10,0,0,0.23,1.85,0.38,0.00,0.00,569600.6961,1602784.48,1433212.856,777778.7206,386417.143,94348.80774
C38H72O2,CHO,560.5532,38,72,2,0,0,0,0.05,1.89,0.00,0.00,0.00,4133101.392,5222496.321,10250044.9,2419886.883,1038722.546,602906.8638
C20H28O7N4,CHON,436.1957933,20,28,7,4,0,0,0.35,1.40,0.20,0.00,0.00,4306640.969,7253814.011,5935161.272,7261313.618,5407567.691,6822602.14
C20H14O5,CHO,334.0841,20,14,5,0,0,0,0.25,0.70,0.00,0.00,0.00,740283.8149,577085.2545,513401.3708,400882.8023,261659.3508,611154.3748
