Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C21H31O14N5,CHON,577.1867333,21,31,14,5,0,0,0.67,1.48,0.24,0.00,0.00,18040.04976,275967.8705,57594.25155,166499.0642,67339.17212,398200.2101
C22H33O11N7,CHON,571.2237933,22,33,11,7,0,0,0.50,1.50,0.32,0.00,0.00,114471.5755,234723.2188,81672.93536,9311.721154,110865.548,18518.23884
C10H16O5N3P,CHONP,259.1168133,10,16,5,3,1,0,0.50,1.60,0.30,0.10,3.00,659844.1462,694121.4008,419147.5681,1855288.355,854159.131,214.2738497
C33H44O6N6,CHON,620.3322133,33,44,6,6,0,0,0.18,1.33,0.18,0.00,0.00,2980.915248,1875.971706,2286.068597,77516.09902,97817.82773,58184.18501
C27H31O4N5,CHON,489.2375933,27,31,4,5,0,0,0.15,1.15,0.19,0.00,0.00,2423059.898,1609188.502,1755251.936,3087947.947,2776034.611,990498.557
C26H43O3N,CHON,417.3243,26,43,3,1,0,0,0.12,1.65,0.04,0.00,0.00,2227589.386,4740212.145,10096894.78,6512992.256,25422748.21,1393090.865
C26H33O9N5S,CHONS,591.1999033,26,33,9,5,0,1,0.35,1.27,0.19,0.00,0.00,2126368.536,1269260.656,3653609.52,3118026.337,4032962.519,7279772.078
C17H33O5N7S,CHONS,447.2263833,17,33,5,7,0,1,0.29,1.94,0.41,0.00,0.00,910377.3198,1028595.59,523660.4605,6007202.017,4436576.247,1835668.101
C42H61O7N11,CHON,831.4755233,42,61,7,11,0,0,0.17,1.45,0.26,0.00,0.00,61114.04239,48013.30764,19269.45248,856483.8957,344734.1861,2716050.205
C17H12O5,CHO,296.0685,17,12,5,0,0,0,0.29,0.71,0.00,0.00,0.00,553951.6043,203110.0624,67954.59067,64.78745438,849.7835273,
C21H29O5N5,CHON,431.2168633,21,29,5,5,0,0,0.24,1.38,0.24,0.00,0.00,1166262.516,1644330.445,2641141.035,2180455.525,1189833.062,1096843.199
C21H20O6,CHO,368.126,21,20,6,0,0,0,0.29,0.95,0.00,0.00,0.00,1012083.4,881014.7791,2492576.485,635292.6334,603233.0755,232614.7189
C24H47O12P,CHOP,558.2805,24,47,12,0,1,0,0.50,1.96,0.00,0.04,0.00,553576.3861,798994.5629,331529.4894,774789.6817,624024.4444,
C45H78O10NP,CHONP,823.5363,45,78,10,1,1,0,0.22,1.73,0.02,0.02,1.00,19032774.43,7192266.918,16689665.94,14138878.81,15376487.07,17961636.04
C47H65O8N13,CHON,939.5078833,47,65,8,13,0,0,0.17,1.38,0.28,0.00,0.00,3728094.529,3650377.431,1337395.459,1564424.978,738381.1324,1431911.78
C18H26O7N4S,CHONS,442.1522233,18,26,7,4,0,1,0.39,1.44,0.22,0.00,0.00,298232.7776,244282.7287,132321.8389,814709.4011,261602.2059,55402.66123
C17H30O9N4S,CHONS,466.1733533,17,30,9,4,0,1,0.53,1.76,0.24,0.00,0.00,1838749.054,1567295.28,1572158.919,836362.9244,1562607.414,291443.8947
C30H42O5N4,CHON,538.3155033,30,42,5,4,0,0,0.17,1.40,0.13,0.00,0.00,63732.97119,20598.20071,29562.56981,49434.99143,33605.54391,49434.99143
C27H34O8N6,CHON,570.2438133,27,34,8,6,0,0,0.30,1.26,0.22,0.00,0.00,11378.83733,14090.32815,22702.72677,208011.4254,47366.32787,41314.89236
C28H42O6N8P2,CHONP,588.3383633,28,42,6,8,2,0,0.21,1.50,0.29,0.07,4.00,11175675.72,2692886.089,6953573.238,1760278.154,3585809.984,6149386.724
C22H37O5N,CHON,395.2672,22,37,5,1,0,0,0.23,1.68,0.05,0.00,0.00,838.7681889,651.3871273,4572.887859,74245.02052,3987.021811,1745.906261
C24H31O8N6P,CHONP,532.2281533,24,31,8,6,1,0,0.33,1.29,0.25,0.04,6.00,283686.781,355038.8839,299837.846,250310.746,330227.6706,46637.61062
C17H12O8,CHO,344.0532,17,12,8,0,0,0,0.47,0.71,0.00,0.00,0.00,280598.4555,1108456.87,1160779.711,1143262.671,779108.8886,575362.5779
C23H33O4,CHO,383.3079,23,33,4,0,0,0,0.17,1.43,0.00,0.00,0.00,1757929.278,1602619.33,1622055.68,970915.3575,1065622.422,1150227.99
C22H32O4S,CHOS,392.2021,22,32,4,0,0,1,0.18,1.45,0.00,0.00,0.00,861943.6961,1071500.975,248544.6163,1207099.94,714550.4899,1085727.956
C4H8O2N2,CHON,116.0586,4,8,2,2,0,0,0.50,2.00,0.50,0.00,0.00,4164197.577,8977313.512,5931055.044,10154000.53,9798408.11,9882571.026
C24H32O7N6,CHON,516.2332433,24,32,7,6,0,0,0.29,1.33,0.25,0.00,0.00,232414.965,108620.0631,207196.0629,137942.2254,238961.626,75713.45735
C18H34O7N10,CHON,502.2611833,18,34,7,10,0,0,0.39,1.89,0.56,0.00,0.00,13158.45588,9654.799339,25606.18935,20814.92127,104353.3028,54196.75715
C27H33O10N5,CHON,587.2227433,27,33,10,5,0,0,0.37,1.22,0.19,0.00,0.00,1927377.834,3924735.89,3461329.761,4525289.936,4217857.538,3885499.69
C21H39O7N,CHON,417.2727,21,39,7,1,0,0,0.33,1.86,0.05,0.00,0.00,540010.721,556555.6363,200639.8927,237906.2522,483518.1211,
C21H38O4,CHO,354.277,21,38,4,0,0,0,0.19,1.81,0.00,0.00,0.00,703144.8163,2882473.323,4894930.246,2256179.44,1622758.967,566854.5671
C20H37O8N9,CHON,531.2765033,20,37,8,9,0,0,0.40,1.85,0.45,0.00,0.00,11442.36488,452041.7359,113295.729,353537.0584,149710.9393,398242.8914
C38H65O7N7S,CHONS,763.4666033,38,65,7,7,0,1,0.18,1.71,0.18,0.00,0.00,77662.5387,2012773.091,3151628.485,2384125.549,1648372.688,1573512.302
C20H19O4N,CHON,337.131409,20,19,4,1,0,0,0.20,0.95,0.05,0.00,0.00,2236425.552,587808.8738,2085672.334,1653989.607,1550012.14,364345.5501
C19H26O8N7P,CHONP,481.1921033,19,26,8,7,1,0,0.42,1.37,0.37,0.05,7.00,314985.0432,515272.8769,135825.8653,16316.03736,14804.44348,33047.22042
C25H50O6N10,CHON,586.3914633,25,50,6,10,0,0,0.24,2.00,0.40,0.00,0.00,2032215.648,4876822.452,827566.8895,3860431.92,4213069.447,3664730.264
C24H35O7N6PS2,CHONPS,584.2086933,24,35,7,6,1,2,0.29,1.46,0.25,0.04,6.00,412367.7273,1024335.617,544794.4993,928724.5983,850816.8823,328965.7147
C20H36O11N8,CHON,564.2503533,20,36,11,8,0,0,0.55,1.80,0.40,0.00,0.00,2499.949322,875.6170291,1588.499471,4587.854433,877.9639739,1037.146528
C32H56O,CHO,456.4331,32,56,1,0,0,0,0.03,1.75,0.00,0.00,0.00,375249.1784,498104.43,222229.6134,126103.152,403314.2839,267383.7241
C23H42O7N10,CHON,570.3237833,23,42,7,10,0,0,0.30,1.83,0.43,0.00,0.00,2948260.418,2626121.417,1868998.882,5215608.233,1894790.243,271399.993
C19H35O5N5,CHON,413.2638033,19,35,5,5,0,0,0.26,1.84,0.26,0.00,0.00,699053.1584,2095136.684,4746502.763,6854313.359,6764850.768,3932921.686
C28H34O9N6,CHON,598.2387033,28,34,9,6,0,0,0.32,1.21,0.21,0.00,0.00,323833.2365,108941.1934,318571.6714,214423.479,324125.0585,761703.4398
C24H34O9N6,CHON,550.2387133,24,34,9,6,0,0,0.38,1.42,0.25,0.00,0.00,4098.739906,57393.75729,103509.0335,21665.48677,485092.842,72652.64135
C10H17O9NS2,CHONS,359.034478,10,17,9,1,0,2,0.90,1.70,0.10,0.00,0.00,2923325.885,3540764.716,4416057.843,4049071.692,7813020.341,1501265.365
C18H30O6N4,CHON,398.2165233,18,30,6,4,0,0,0.33,1.67,0.22,0.00,0.00,1468484.156,1400874.968,1126434.012,407973.4613,1093649.776,1013807.235
C16H29O4N3,CHON,327.2157933,16,29,4,3,0,0,0.25,1.81,0.19,0.00,0.00,226858.1213,476607.283,649592.6125,715427.8008,2024658.032,1746.908073
C14H10O4N2,CHON,270.0641,14,10,4,2,0,0,0.29,0.71,0.14,0.00,0.00,364972.3675,695609.0968,66904.52584,5612.36486,2740.736764,6978.610699
C23H22O8,CHO,426.1315,23,22,8,0,0,0,0.35,0.96,0.00,0.00,0.00,13723134.86,26200890.68,12129790.53,19553578.7,37407926.74,4976307.796
C18H18O3,CHO,282.1256,18,18,3,0,0,0,0.17,1.00,0.00,0.00,0.00,1025370.351,1417253.616,178701.4392,767849.4983,567935.6149,536417.1853
C21H33O12N5S,CHONS,579.1846333,21,33,12,5,0,1,0.57,1.57,0.24,0.00,0.00,676221.5621,371029.6352,782409.3763,397208.2745,1169407.499,233397.8555
C25H31O8N5S,CHONS,561.1893433,25,31,8,5,0,1,0.32,1.24,0.20,0.00,0.00,8356796.316,12339568.26,1166683.352,20683644.52,13978840.13,4324904.705
C20H32O4,CHO,336.2301,20,32,4,0,0,0,0.20,1.60,0.00,0.00,0.00,2644944.391,2046587.763,1888837.824,4885412.256,10206278.7,6083268.38
C29H47O6N5S,CHONS,593.3246933,29,47,6,5,0,1,0.21,1.62,0.17,0.00,0.00,7027099.577,5561370.441,6107548.781,6008140.106,5214268.661,8813968.64
C27H32O15,CHO,596.174125,27,32,15,0,0,0,0.56,1.19,0.00,0.00,0.00,1451709.346,2524970.031,1682403.808,1070102.682,232678.6382,1995910.997
C24H41O11N9,CHON,631.2925433,24,41,11,9,0,0,0.46,1.71,0.38,0.00,0.00,13524.11987,13043.27723,8114.548795,15290.20276,12193.35715,1995.418824
C31H50O3,CHO,470.376,31,50,3,0,0,0,0.10,1.61,0.00,0.00,0.00,15020169,3862861.372,4589445.114,205266.9042,181456.9481,370698.5205
C26H46O7N12S,CHONS,670.3333133,26,46,7,12,0,1,0.27,1.77,0.46,0.00,0.00,6257908.171,4871758.243,8426449.281,992377.9111,10871890.37,15790503.13
C27H55O9P,CHOP,554.3584,27,55,9,0,1,0,0.33,2.04,0.00,0.04,0.00,2305889.47,1565241.38,1196534.553,2391238.156,2054722.017,3321058.244
C26H45O2N,CHON,403.345,26,45,2,1,0,0,0.08,1.73,0.04,0.00,0.00,932964.5611,509218.3872,707916.3636,344652.3502,745219.9995,308592.8219
C18H29O13N5,CHON,523.1761833,18,29,13,5,0,0,0.72,1.61,0.28,0.00,0.00,787417.332,504926.2227,460065.4131,416124.4539,324788.4046,79843.55598
C19H32O9N6S3,CHONS,584.1393033,19,32,9,6,0,3,0.47,1.68,0.32,0.00,0.00,240142.9933,604411.5059,867376.9323,440716.292,585565.9272,1132733.255
C9H16O4,CHO,188.105,9,16,4,0,0,0,0.44,1.78,0.00,0.00,0.00,2781788.14,7447542.533,3804771.844,6861265.49,926068.1004,6910689.252
C21H26O7N6,CHON,474.1862833,21,26,7,6,0,0,0.33,1.24,0.29,0.00,0.00,12529626.27,15386420.45,11626086.54,4430831.662,5961127.558,4952404.958
C16H18O3,CHO,258.1256,16,18,3,0,0,0,0.19,1.13,0.00,0.00,0.00,324083.131,348063.0253,260992.0251,12182.88795,119567.9694,38589.56114
C24H48O2,CHO,368.3654,24,48,2,0,0,0,0.08,2.00,0.00,0.00,0.00,397576.056,116840.8102,151221.4411,1089925.127,822673.4846,435213.9457
C28H49O6N7,CHON,579.3744133,28,49,6,7,0,0,0.21,1.75,0.25,0.00,0.00,886952.1721,559318.0822,429511.1615,322340.512,90162.91732,502318.4662
C15H14O,CHO,210.1045,15,14,1,0,0,0,0.07,0.93,0.00,0.00,0.00,2643149.066,3616423.07,1445495.323,99784.43482,2266565.534,41493.69915
C21H36O8N8,CHON,528.2656033,21,36,8,8,0,0,0.38,1.71,0.38,0.00,0.00,2287361.698,1727208.5,4031289.11,621213.8193,749319.7324,805691.9281
C10H16O5N2,CHON,244.1059133,10,16,5,2,0,0,0.50,1.60,0.20,0.00,0.00,2366364.429,2525255.644,708063.138,559210.5464,538274.4184,685102.6999
C26H42O10N6,CHON,598.2962233,26,42,10,6,0,0,0.38,1.62,0.23,0.00,0.00,1562092.31,640723.7385,1069379.289,329247.1321,380936.8864,199629.3216
C17H29O6N5S,CHONS,431.1838433,17,29,6,5,0,1,0.35,1.71,0.29,0.00,0.00,5075997.775,3730446.73,4984104.052,5832687.691,4179920.19,3766546.03
C15H11O3,CHO,274.0397,15,11,3,0,0,0,0.20,0.73,0.00,0.00,0.00,491476.1424,747274.1514,2244397.02,4180685.889,4425362.745,3295100.385
C36H63O8P,CHOP,654.4261,36,63,8,0,1,0,0.22,1.75,0.00,0.03,0.00,842475.2873,3608445.077,1795577.341,2594394.114,673972.5403,2079767.736
C11H19O5N3,CHON,273.1324633,11,19,5,3,0,0,0.45,1.73,0.27,0.00,0.00,1818593.105,1013698.215,4270168.954,801808.6244,1656026.743,909046.2804
C42H75O14N11,CHON,957.5494733,42,75,14,11,0,0,0.33,1.79,0.26,0.00,0.00,277679.8782,158862.6292,260669.0014,273076.2815,520501.297,1863164.035
C25H35O9,CHO,514.197,25,35,9,0,0,0,0.36,1.40,0.00,0.00,0.00,807210.3692,1135158.926,882468.0761,1258275.436,1602501.204,1175283.967
C29H39O5N5P2,CHONP,539.3107533,29,39,5,5,2,0,0.17,1.34,0.17,0.07,2.50,12132305.34,2432891.34,16786882.26,22592569.83,16210317.43,5269059.647
C29H22O14,CHO,594.101,29,22,14,0,0,0,0.48,0.76,0.00,0.00,0.00,4139190.353,7664373.348,8485171.18,9380995.907,16481380.65,15902002.52
C21H31O12N7,CHON,573.2030633,21,31,12,7,0,0,0.57,1.48,0.33,0.00,0.00,202605.7805,138073.9601,73238.53035,23775.41385,23745.21801,1890.033412
C23H41O7P,CHOP,460.259,23,41,7,0,1,0,0.30,1.78,0.00,0.04,0.00,5215605.322,4538491.303,3605915.321,3249538.752,8778351.352,1620986.102
C20H40O2,CHO,312.3028,20,40,2,0,0,0,0.10,2.00,0.00,0.00,0.00,732709.5184,1129424.855,178435.1971,1611389.689,2638832.186,517949.2798
C20H32O2,CHO,304.2402,20,32,2,0,0,0,0.10,1.60,0.00,0.00,0.00,2768148.16,5889362.403,3172694.014,7890523.537,3801613.513,8930092.667
C32H36O5N4,CHON,556.2685533,32,36,5,4,0,0,0.16,1.13,0.13,0.00,0.00,49680.25622,40751.43496,10397.99936,15681.97893,4562.698459,19164.99383
C19H36,CH,264.2817,19,36,0,0,0,0,0.00,1.89,0.00,0.00,0.00,1836430.806,1836430.806,986914.1448,2738956.465,621982.5526,2165121.414
C38H66O2,CHO,554.5063,38,66,2,0,0,0,0.05,1.74,0.00,0.00,0.00,1268427.995,934815.7832,1141656.427,2189673.474,6224761.799,341657.1504
C23H37O5NS,CHONS,439.2392,23,37,5,1,0,1,0.22,1.61,0.04,0.00,0.00,8033907.593,10430367.41,7794794.499,6435377.125,4267149.331,5499864.443
C24H40O10N6,CHON,572.2805833,24,40,10,6,0,0,0.42,1.67,0.25,0.00,0.00,1077641.478,6192830.464,9278105.906,16182328.76,20249862.34,13133118.58
C8H15O5N3,CHON,233.1011733,8,15,5,3,0,0,0.63,1.88,0.38,0.00,0.00,505132.0111,1084964.383,170949.0291,330459.8766,233024.692,292029.1978
C22H42O7N6,CHON,502.3114833,22,42,7,6,0,0,0.32,1.91,0.27,0.00,0.00,7699249.778,12332201,8757453.543,3199403.024,5473014.698,4509677.595
C21H37O6N5S,CHONS,487.2464433,21,37,6,5,0,1,0.29,1.76,0.24,0.00,0.00,5240683.295,6510693.272,2768298.109,2722191.162,5491630.69,421753.7295
C16H22O6N5P,CHONP,381.1648233,16,22,6,5,1,0,0.38,1.38,0.31,0.06,5.00,1893241.004,1610092.558,1650086.781,3495632.561,1907162.118,1757780.027
C10H8O5,CHO,208.037175,10,8,5,0,0,0,0.50,0.80,0.00,0.00,0.00,366401.3638,198995.9064,375937.2183,474007.289,1259040.336,431893.4138
C25H41O6N5S,CHONS,539.2777533,25,41,6,5,0,1,0.24,1.64,0.20,0.00,0.00,81363.2426,48669.90627,18377.33024,14462.56894,18824.46924,13797.4062
C9H14O2,CHO,154.0994,9,14,2,0,0,0,0.22,1.56,0.00,0.00,0.00,2526073.201,5458663.419,5385869.933,4707426.63,5222778.641,145937.4353
C8H10O,CHO,122.0732,8,10,1,0,0,0,0.13,1.25,0.00,0.00,0.00,150353.6002,1484101.37,1793408.809,3170971.05,4570220.275,36243.76697
C5H10O3N2S,CHONS,178.0412133,5,10,3,2,0,1,0.60,2.00,0.40,0.00,0.00,2790.6863,82709.80619,14777.18654,302079.8743,159710.4675,348367.0364
C42H72O10NP,CHONP,781.4894,42,72,10,1,1,0,0.24,1.71,0.02,0.02,1.00,27475.2312,393593.921,57746.2627,23786.47328,106985.7071,94452.19714
C33H52O8,CHO,576.3662,33,52,8,0,0,0,0.24,1.58,0.00,0.00,0.00,870707.684,650685.1151,298727.1379,266276.5598,671661.5988,55126.36247
C29H46O3,CHO,442.3447,29,46,3,0,0,0,0.10,1.59,0.00,0.00,0.00,652200.0124,548478.0263,697925.8865,368154.9708,845573.435,202048.419
C22H30O5N4S,CHONS,462.1936833,22,30,5,4,0,1,0.23,1.36,0.18,0.00,0.00,34010411.95,9550729.772,12031356.04,23719240.66,16003574.63,21704729.28
C25H40O3,CHO,388.2977,25,40,3,0,0,0,0.12,1.60,0.00,0.00,0.00,3180166.362,2083584.566,1496410.934,2988869.612,6447812.294,1876073.252
C21H41O6N8P,CHONP,502.3227233,21,41,6,8,1,0,0.29,1.95,0.38,0.05,8.00,3180809.064,14404235.28,12229057.54,10224688.96,31602381.61,1717771.56
C25H38O4,CHO,402.277,25,38,4,0,0,0,0.16,1.52,0.00,0.00,0.00,12387915.14,20738031.48,13838731.65,19831475.26,8440246.907,12537275.89
C48H91O8N,CHON,809.6745,48,91,8,1,0,0,0.17,1.90,0.02,0.00,0.00,6696655.228,6647976.789,10491754.42,4332984.273,5090829.511,7483202.366
C23H39O6NS,CHONS,457.2498,23,39,6,1,0,1,0.26,1.70,0.04,0.00,0.00,348517.3297,3762475.966,1564500.272,51945.24369,94054.95565,676531.806
C26H48O8N6,CHON,572.3533433,26,48,8,6,0,0,0.31,1.85,0.23,0.00,0.00,1098558.729,1324306.13,1379033.65,229471.2446,1118160.685,1024994.881
C6H14O2N2,CHON,146.1055233,6,14,2,2,0,0,0.33,2.33,0.33,0.00,0.00,299492.9665,559873.2883,230547.6175,65238.65488,171156.921,53117.54987
C21H30O8N4S,CHONS,498.1784333,21,30,8,4,0,1,0.38,1.43,0.19,0.00,0.00,16634687.82,18980631.43,16613211.06,29248822.77,25648052.9,28364137.09
C17H27O7N7,CHON,441.1971933,17,27,7,7,0,0,0.41,1.59,0.41,0.00,0.00,1617981.463,392190.7195,1754127.802,235592.1383,136971.5628,305385.2057
C20H33O10N5S2,CHONS,567.1668833,20,33,10,5,0,2,0.50,1.65,0.25,0.00,0.00,546384.9156,204642.2042,398512.877,226724.7878,1259948.773,598673.9641
C9H16O6N3P,CHONP,263.1117333,9,16,6,3,1,0,0.67,1.78,0.33,0.11,3.00,17370402.77,42622903.06,16426440.58,71535257.92,52129165.73,
C9H18O3,CHO,174.1256,9,18,3,0,0,0,0.33,2.00,0.00,0.00,0.00,660280.0012,901258.209,488275.9781,1334466.548,369546.1131,
C17H32O6N6S,CHONS,448.2104033,17,32,6,6,0,1,0.35,1.88,0.35,0.00,0.00,2867.744344,644843.4414,673824.0253,1198353.865,1449636.904,1206176.728
C24H38O8N6S2,CHONS,602.2192633,24,38,8,6,0,2,0.33,1.58,0.25,0.00,0.00,41652.4306,59219.87443,32217.22455,51274.44052,54392.13577,
C23H31O10N9,CHON,593.2193733,23,31,10,9,0,0,0.43,1.35,0.39,0.00,0.00,7527.846889,13983.58485,33632.90445,1044784.814,1822089.789,86221.70117
C18H28O7N8S,CHONS,500.1801633,18,28,7,8,0,1,0.39,1.56,0.44,0.00,0.00,2978875.54,226663.4641,3614465.661,1665345.401,1909263.347,2615677.379
C23H30O5,CHO,386.2093,23,30,5,0,0,0,0.22,1.30,0.00,0.00,0.00,16565.59863,157706.145,30118.3379,308101.3052,530826.0648,157174.2269
C22H20O15S,CHOS,556.0523,22,20,15,0,0,1,0.68,0.91,0.00,0.00,0.00,105480.8491,602952.0426,382855.7031,199535.1084,51970.61555,54666.89601
C16H28O6N4,CHON,372.2008733,16,28,6,4,0,0,0.38,1.75,0.25,0.00,0.00,1162106.193,1226201.539,1044652.671,973583.3529,1176572.381,5500.8342
C26H44O6N6S,CHONS,568.3043033,26,44,6,6,0,1,0.23,1.69,0.23,0.00,0.00,4047.484349,20459.14274,23476.33549,606952.7698,231185.345,72610.05163
C28H40O7N6P2,CHONP,574.3114833,28,40,7,6,2,0,0.25,1.43,0.21,0.07,3.00,32291.42611,170058.1543,171006.1278,1339366.21,1067545.921,3250.545482
C23H46O7N8,CHON,546.3489333,23,46,7,8,0,0,0.30,2.00,0.35,0.00,0.00,105195.6749,195999.3751,229277.4819,799028.9293,228796.4438,512438.0852
C21H30O5N8,CHON,474.2339133,21,30,5,8,0,0,0.24,1.43,0.38,0.00,0.00,1126694.621,1254953.804,295045.852,845179.4561,1365701.716,187379.123
C23H31O9N10P,CHONP,592.2353633,23,31,9,10,1,0,0.39,1.35,0.43,0.04,10.00,70742.97206,104859.1325,78664.08904,272717.0559,178567.0234,87912.62815
C22H30O5N6S,CHONS,490.1998333,22,30,5,6,0,1,0.23,1.36,0.27,0.00,0.00,1503874.665,214665.4804,491314.0278,188718.0394,93836.98608,589316.1601
C18H31O4N,CHON,325.2253,18,31,4,1,0,0,0.22,1.72,0.06,0.00,0.00,1314125.47,3843024.095,7729609.53,8104835.403,8896384.265,1932223.268
C22H32O10N6,CHON,540.2179933,22,32,10,6,0,0,0.45,1.45,0.27,0.00,0.00,1446656.302,4142335.883,3210334.474,3480021.3,929526.6959,3055511.987
C8H15ONS2,CHONS,205.0595,8,15,1,1,0,2,0.13,1.88,0.13,0.00,0.00,283092.1088,3609305.036,4784681.364,40439069.1,36111075.82,24180687.66
C27H54O2,CHO,410.4124,27,54,2,0,0,0,0.07,2.00,0.00,0.00,0.00,139474.1954,47464.7291,60913.75478,144971.303,46031.16872,180012.3891
C29H52O7N6,CHON,596.3897233,29,52,7,6,0,0,0.24,1.79,0.21,0.00,0.00,93688.79446,353616.0824,200839.2643,242446.9355,1097680.339,174950.2461
C15H8O5,CHO,268.037175,15,8,5,0,0,0,0.33,0.53,0.00,0.00,0.00,10670328.54,3619418.94,12158675.43,99784.43482,1042543.044,41493.69915
C49H91O4N,CHON,757.6948,49,91,4,1,0,0,0.08,1.86,0.02,0.00,0.00,35303649.2,27695596.13,68145055.13,80064443.93,94661824.6,21811369.53
C20H24O6,CHO,360.15729,20,24,6,0,0,0,0.30,1.20,0.00,0.00,0.00,927548.3726,295420.0324,1052796.378,757368.6178,513125.6623,75473.62809
C16H30O7N5PS,CHONPS,437.1944233,16,30,7,5,1,1,0.44,1.88,0.31,0.06,5.00,114512.7436,365591.0912,231228.1158,350355.7636,210671.4034,392759.8837
C20H38O6N6S,CHONS,490.2573433,20,38,6,6,0,1,0.30,1.90,0.30,0.00,0.00,749199.8497,419747.2424,324533.0641,44118.72071,50400.09881,76743.9512
C37H50O14N6,CHON,802.3384933,37,50,14,6,0,0,0.38,1.35,0.16,0.00,0.00,9353657.776,8660114.906,10705524.9,2781441.682,6550960.744,11533912.83
C20H25O6N5,CHON,431.1804733,20,25,6,5,0,0,0.30,1.25,0.25,0.00,0.00,117265.5397,9217.324573,15838.72854,4208.772616,1094.605836,4206.75644
C23H24O12,CHO,492.1268,23,24,12,0,0,0,0.52,1.04,0.00,0.00,0.00,2046424.896,2419653.419,282251.5589,1497397.846,1058410.235,1010047.363
C19H27O8N5S,CHONS,485.1580433,19,27,8,5,0,1,0.42,1.42,0.26,0.00,0.00,469950.4274,127345.9767,412860.6615,275880.8919,117552.3321,80532.10686
C33H61O11N13,CHON,815.4613333,33,61,11,13,0,0,0.33,1.85,0.39,0.00,0.00,2352.651778,2752.763276,2178.62961,2230.182264,3802.859259,3253.822246
C21H35O7N5,CHON,469.2536333,21,35,7,5,0,0,0.33,1.67,0.24,0.00,0.00,1479603.997,547403.3441,2269396.548,1125858.777,52358.20294,146777.4679
C25H32O8N8,CHON,572.2343033,25,32,8,8,0,0,0.32,1.28,0.32,0.00,0.00,61286.83031,2194586.642,1840490.56,1581409.754,1530381.078,257359.1628
C33H60O13N14S,CHONS,892.4184933,33,60,13,14,0,1,0.39,1.82,0.42,0.00,0.00,4336.966747,3697.973831,,1066.645066,1929.83797,2059.886308
C7H14O,CHO,114.1045,7,14,1,0,0,0,0.14,2.00,0.00,0.00,0.00,14920820.73,26318589.77,29297070.47,29355673.75,23533272.71,16091015.06
C18H18O6,CHO,330.1103,18,18,6,0,0,0,0.33,1.00,0.00,0.00,0.00,1249025.755,646766.696,1279024.3,445659.2647,990969.5785,186085.7249
C23H37O7P,CHOP,456.2277,23,37,7,0,1,0,0.30,1.61,0.00,0.04,0.00,1956652.805,1134986.828,1350811.022,172326.1514,195127.8526,99886.61043
C17H32O9N8,CHON,492.2292233,17,32,9,8,0,0,0.53,1.88,0.47,0.00,0.00,540924.2216,932283.4591,573939.9923,193938.1794,170207.4105,87749.82956
C14H25O8N4PS,CHONPS,410.1471433,14,25,8,4,1,1,0.57,1.79,0.29,0.07,4.00,75379.78858,43289.81495,17954.47646,75943.42457,552803.9688,
C26H45O6NS,CHONS,499.2968,26,45,6,1,0,1,0.23,1.73,0.04,0.00,0.00,8906.095705,133613.841,264070.7927,44816.96299,263426.5256,157810.7906
C15H23O5N5,CHON,353.1699133,15,23,5,5,0,0,0.33,1.53,0.33,0.00,0.00,236023.7246,793782.1631,207183.0679,438979.8686,99813.30418,393258.6994
C29H53O11N9S,CHONS,735.3585233,29,53,11,9,0,1,0.38,1.83,0.31,0.00,0.00,124704.9425,396596.1975,323775.499,272886.9329,2665307.178,903089.0575
C15H28O6N4S2,CHONS,424.1450333,15,28,6,4,0,2,0.40,1.87,0.27,0.00,0.00,454531.4244,651972.8363,560930.4487,1216660.875,943769.6145,375400.9677
C21H16O8,CHO,396.0845,21,16,8,0,0,0,0.38,0.76,0.00,0.00,0.00,113804.5129,23874.118,64427.36021,13214.06008,103098.9178,109335.7341
C10H13O5N4P,CHONP,270.0964133,10,13,5,4,1,0,0.50,1.30,0.40,0.10,4.00,707135.4648,424415.983,273922.3515,238423.6988,668173.8963,479377.7745
C20H20O5,CHO,340.1311,20,20,5,0,0,0,0.25,1.00,0.00,0.00,0.00,341383.001,682495.9693,666543.6221,597158.7214,430214.5624,899425.829
C23H40O6N10S,CHONS,584.2852933,23,40,6,10,0,1,0.26,1.74,0.43,0.00,0.00,13767.6307,127648.5494,36546.03611,644199.4097,688459.8386,266972.5444
C25H52O7NP,CHONP,509.3481,25,52,7,1,1,0,0.28,2.08,0.04,0.04,1.00,169081.309,38483.78146,128710.4735,28148.75254,75398.56035,45805.75665
C16H22O5N8,CHON,406.1713133,16,22,5,8,0,0,0.31,1.38,0.50,0.00,0.00,478426.5689,982017.1996,110216.5781,1122267.484,1196687.05,58114.10452
C17H31O9N5S,CHONS,481.1842533,17,31,9,5,0,1,0.53,1.82,0.29,0.00,0.00,454715.7377,825279.9267,610445.4934,100237.6481,53819.21941,111493.2266
C13H26O3,CHO,230.1882,13,26,3,0,0,0,0.23,2.00,0.00,0.00,0.00,1293920.689,230418.3541,139070.5623,82811.06975,6907.796797,44024.79161
C25H34O11N5P,CHONP,581.2332933,25,34,11,5,1,0,0.44,1.36,0.20,0.04,5.00,3325769.502,1135991.438,4685949.923,1467775.413,2729041.093,2358747.986
